"BehaviorSpace results (NetLogo 5.2.1)"
"irrigame_comm.nlogo"
"CoV - condcoop-F-baseline"
"05/31/2017 11:10:29:055 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","umin","sharerandom","mu","shareselfish","scenario","lambda","stdev-random","psat","visioneffect","gammawatercol","phase2?","mean-expC","Variability","comlimscore","alpha","limcom","beta","lambda-inv","lambda-ext","[step]","infrastructure","gini-ext"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","63","0.4"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","69","0.27755102040816326"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","62","0.225"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","70","0.43333333333333335"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","75","0.2413793103448276"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","67","0.23157894736842105"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","65","0.4666666666666667"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","72","0.28888888888888886"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","64","0.3346938775510204"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","68","0.07272727272727272"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","71","0.05714285714285714"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","63","0.275"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","69","0.10909090909090909"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","76","0.2785714285714286"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","69","0.18305084745762712"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","75","0.13333333333333333"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","66","0.275"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","70","0.4"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","70","0.23157894736842105"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","67","0.2490566037735849"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","69","0.23157894736842105"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","71","0.26046511627906976"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","67","0.23157894736842105"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","66","0.13333333333333333"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","67","0.1"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","69","0.18305084745762712"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","67","0.2413793103448276"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","67","0.2153846153846154"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","67","0.09230769230769231"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","66","0.1"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","66","0.09230769230769231"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","67","0.1"
